Id,Name,Lat,Lon,Type,Icon,City,District
195369,棒球路,22.65573,120.4808,郵局,📮,屏東縣,永安里
195371,玉光巷,22.68208,120.491243,郵局,📮,屏東縣,斯文里
195373,全家便利商店,22.675089,120.600033,郵局,📮,屏東縣,龍潭村
195374,青雲路,22.825971,120.599523,郵局,📮,屏東縣,高樹村
195375,中正路,22.469165,120.451153,郵局,📮,屏東縣,頂中里
195376,延平路,22.632246,120.544604,郵局,📮,屏東縣,豐田村
195418,六合路,22.55131,120.537475,車站,🚉,屏東縣,新生里
195419,赤東六街,22.681812,120.346893,橋樑,🌉,高雄市,仁武區
195428,仙吉路42巷1弄,22.540979,120.460989,郵局,📮,屏東縣,仙吉村
195433,吉林路,22.614977,120.469583,郵局,📮,屏東縣,社口村
195438,瑞光南路,22.638497,120.485729,郵局,📮,屏東縣,龍華里
195441,榮華二街,22.702964,120.573793,郵局,📮,屏東縣,繁華村
